id,latitude,longitude,zipcodes
0,40.73196,-73.84805,11375
1,40.68129,-73.91362,11233
2,40.68134,-73.97246,11217
3,40.75532,-73.99329,10018
4,40.72543,-74.00403,10013
5,40.71527668,-73.99753744,10013
6,40.68096,-73.98209,11217
7,40.7685,-73.96109,10021
8,40.73399,-73.99149,10003
9,40.68172214,-73.88444177,11208
10,40.70899,-74.01401,10006
11,40.7088,-73.96547,
12,40.73416,-73.84958,11375
13,40.75247,-73.87847,11372
14,40.74325,-73.91666,11377
15,40.80148,-73.9592,10026
16,40.72217,-73.99141,10002
17,40.70574,-74.00591,10038
18,40.71101,-73.95049,11211
19,40.7604361,-73.968523,
20,40.75636,-73.80369,11358
21,40.70087,-73.93942,11206
22,40.8222,-73.95555,10031
23,40.73076,-73.98735,10003
24,40.80012,-73.94272,10035
25,40.67709,-73.94381,11216
26,40.6853,-73.96313,11238
27,40.72153,-73.94804,11222
28,40.68718,-73.95984,11238
29,40.70606,-73.8322,11415
30,40.68512,-73.92869,11233
31,40.74142,-74.00048,10011
32,40.66707,-73.9545,11225
33,40.80408,-73.95311,10026
34,40.65848,-73.94839,11225
35,40.75579,-73.98322,10036
36,40.64542,-74.00641,11220
37,40.68649,-73.94747,11216
38,40.86531,-73.92718,10040
39,40.75664,-73.99111,10018
40,40.73178,-73.9944,10003
41,40.78385,-73.97394,10024
42,40.6337,-74.02527,11209
43,40.74759,-73.98539,10001
44,40.7555,-73.98302,
45,40.82734,-73.94645,10031
46,40.70343,-73.92973,11237
47,40.77752,-73.9777,10023
48,40.69754,-73.90539,11385
49,40.69766,-73.92807,11221
50,40.76708,-73.87297,11369
51,40.72248201,-73.81372003,11367
52,40.7915,-73.84947,11356
53,40.74749,-73.99239,10001
54,40.71708212,-73.81597827,11435
55,40.73645,-73.90322,11377
56,40.83335,-73.94344,10032
57,40.74826,-73.97164,10017
58,40.7635,-73.99055,10019
59,40.75347,-73.88224,11372
60,40.77125425,-73.99091407,10019
61,40.72375,-73.95343,11222
62,40.7902,-73.97468,10024
63,40.77832,-73.98442,10023
64,40.67964,-73.94728,11216
65,40.91259,-73.88033,10705
66,40.63449,-73.95626,11210
67,40.76315,-73.92709,11106
68,40.6666,-73.99396,11215
69,40.75556964,-73.97293809,10017
70,40.86315,-73.92677,10040
71,40.68207,-73.95329,11216
72,40.68307,-73.89141,11207
73,40.65933,-73.94991,11225
74,40.70202,-73.82655,11418
75,40.78615,-73.97454,10024
76,40.69626,-73.93474,11206
77,40.71749,-73.94519,11211
78,40.7413,-74.00054,10011
79,40.84969,-73.86009,10462
